time_s,altitude_agl_m,AGL_ft
7.830203127,1726.336975,5664.111615
7.855748078,1731.308435,5680.422975
7.881293028,1736.269332,5696.699679
7.906837979,1741.219689,5712.941798
7.935658471,1746.792184,5731.225156
7.964478964,1752.351319,5749.464678
7.993299457,1757.897123,5767.660462
8.022119949,1763.429625,5785.8126
8.050940442,1768.948852,5803.921184
8.079760934,1774.454832,5821.986305
8.119135022,1781.955651,5846.596491
8.15850911,1789.431864,5871.125947
8.197883198,1796.883541,5895.574897
8.237257286,1804.310746,5919.943557
8.268908105,1810.2634,5939.474216
8.300558924,1816.20032,5958.95325
8.332209743,1822.121543,5978.380781
8.363860561,1828.027104,5997.756929
8.39551138,1833.917041,6017.081813
8.427162199,1839.791391,6036.355552
8.458813018,1845.650188,6055.578265
8.490463837,1851.493468,6074.750068
8.522114656,1857.321267,6093.871077
8.553765475,1863.13362,6112.941407
8.585416293,1868.930561,6131.96117
8.617067112,1874.712124,6150.930478
8.648717931,1880.478343,6169.849442
8.68036875,1886.229251,6188.718173
8.712019569,1891.964883,6207.536783
8.751310546,1899.063832,6230.828432
8.790601524,1906.139354,6254.043222
8.829892502,1913.191516,6277.181364
8.869183479,1920.220381,6300.24307
8.908474457,1927.226012,6323.228546
8.915484209,1928.473423,6327.3213
8.922493962,1929.720096,6331.411634
8.929503714,1930.966032,6335.499552
8.936513467,1932.211232,6339.585053
8.950532972,1934.699424,6347.748811
8.964552477,1937.184675,6355.902919
8.978571982,1939.666988,6364.047387
8.992591487,1942.146366,6372.182226
9.014557521,1946.025209,6384.90871
9.036523554,1949.896866,6397.611618
9.058489588,1953.761349,6410.290986
9.080455622,1957.618668,6422.946849
9.10754687,1962.366144,6438.523317
9.134638118,1967.102758,6454.064148
9.161729366,1971.828528,6469.569399
9.188820614,1976.543471,6485.039127
9.215911862,1981.247603,6500.473387
9.248648189,1986.917549,6519.076478
9.273742031,1991.25316,6533.301619
9.298835873,1995.579541,6547.496474
9.323929715,1999.896705,6561.661089
9.349023558,2004.204666,6575.795509
9.383463789,2010.102202,6595.145325
9.417904021,2015.982466,6614.438471
9.445329621,2020.652736,6629.761627
9.472755222,2025.312096,6645.048987
9.500180823,2029.960565,6660.300613
9.527606424,2034.598161,6675.516565
9.555032025,2039.224902,6690.696905
9.586475838,2044.51619,6708.057619
9.617919651,2049.79326,6725.371686
9.649363464,2055.056139,6742.639193
9.654408198,2055.899178,6745.405202
9.659452931,2056.741852,6748.170015
9.664497665,2057.584161,6750.933633
9.669542399,2058.426107,6753.696056
9.679631866,2060.108906,6759.217319
9.689721333,2061.790249,6764.733807
9.699810801,2063.470138,6770.245523
9.726844397,2067.964048,6784.990042
9.753877993,2072.447538,6799.700373
9.780911589,2076.920625,6814.376571
9.807945185,2081.383326,6829.018691
9.84362716,2087.257824,6848.29292
9.879309136,2093.114291,6867.507988
9.914991111,2098.952762,6886.664012
9.950673086,2104.773272,6905.761106
9.986355062,2110.575857,6924.799388
10.02203704,2116.360552,6943.778971
10.05771901,2122.127392,6962.699973
10.09340099,2127.876412,6981.562508
10.13557794,2134.64896,7003.783237
10.17775489,2141.396718,7025.922631
10.21993184,2148.119744,7047.980879
10.2621088,2154.818095,7069.958168
10.30428575,2161.491827,7091.854684
10.34185954,2167.416503,7111.293548
10.34786203,2168.361178,7114.393025
10.35386451,2169.305356,7117.490874
10.359867,2170.249038,7120.587094
10.37187197,2172.134913,7126.774651
10.38387693,2174.018805,7132.955698
10.3958819,2175.900713,7139.13024
10.40788687,2177.78064,7145.29828
10.43000365,2181.238849,7156.644664
10.45212043,2184.690343,7167.969015
10.47423722,2188.135129,7179.271358
10.496354,2191.573215,7190.551717
10.51847078,2195.004608,7201.810118
10.55119197,2200.069004,7218.426403
10.58391315,2205.118797,7234.994772
10.61663434,2210.154013,7251.515318
10.64935552,2215.174682,7267.988131
10.68207671,2220.18083,7284.413304
10.72308842,2226.434918,7304.932965
10.76410013,2232.666291,7325.3781
10.7971892,2237.677367,7341.819441
10.83027828,2242.673715,7358.21246
10.86336735,2247.655361,7374.557238
10.89645642,2252.622327,7390.853854
10.9295455,2257.574637,7407.102383
10.96263457,2262.512314,7423.302903
11.0080227,2269.261543,7445.447121
11.05341082,2275.983341,7467.501343
11.09879895,2282.677771,7489.465766
11.14418708,2289.344892,7511.34059
11.1895752,2295.984767,7533.126022
11.23496333,2302.59746,7554.822265
11.28035145,2309.183032,7576.429527
11.32573958,2315.741546,7597.948012
11.37112771,2322.273064,7619.377922
11.42115899,2329.441542,7642.897699
11.47119028,2336.577371,7666.310355
11.52122157,2343.68063,7689.616147
11.57125286,2350.751395,7712.815326
11.62128415,2357.789742,7735.908145
11.67131544,2364.795749,7758.894852
11.72946071,2372.897443,7785.476509
11.78760598,2380.955674,7811.915568
11.84575125,2388.970561,7838.212412
11.90389652,2396.94222,7864.367424
11.91533726,2398.505654,7869.497052
11.926778,2400.06742,7874.621207
11.93821874,2401.627519,7879.73989
11.94965947,2403.185951,7884.853107
11.97254095,2406.29782,7895.063147
11.99542243,2409.403033,7905.25135
12.01830391,2412.501597,7915.417738
12.04118539,2415.593518,7925.562333
12.07919001,2420.714335,7942.363734
12.11719463,2425.816876,7959.105171
12.15519926,2430.90117,7975.78674
12.19320388,2435.967247,7992.408536
12.2312085,2441.015133,8008.970653
12.26921312,2446.044859,8025.473182
12.30721774,2451.056451,8041.916215
12.34522237,2456.049938,8058.299846
12.38322699,2461.025349,8074.62417
12.42123161,2465.982714,8090.889284
12.45923623,2470.922063,8107.095289
12.50720589,2477.130867,8127.466374
12.55517555,2483.311081,8147.743658
12.60314521,2489.46277,8167.927349
12.65111487,2495.585996,8188.017652
12.69908453,2501.68082,8208.014772
12.74705419,2507.747304,8227.918906
12.79502385,2513.785506,8247.730246
12.84299351,2519.795483,8267.44898
12.89925812,2526.808816,8290.459725
12.95552272,2533.783481,8313.343603
13.01178733,2540.719565,8336.100894
13.06805194,2547.617151,8358.731874
13.12431654,2554.476323,8381.236816
13.18058115,2561.297164,8403.615994
13.23684575,2568.079756,8425.86968
13.29311036,2574.824184,8447.998147
13.34937497,2581.530529,8470.001665
13.40563957,2588.198874,8491.880507
13.46190418,2594.829302,8513.63494
13.51816878,2601.421894,8535.265234
13.57443339,2607.976731,8556.771653
13.63069799,2614.493893,8578.154462
13.69936335,2622.396512,8604.082957
13.76802871,2630.243282,8629.82821
13.83669407,2638.034346,8655.39069
13.90535943,2645.769845,8680.770862
13.97402478,2653.44992,8705.969188
14.05424208,2662.352046,8735.177064
14.13445938,2671.178941,8764.138104
14.21467667,2679.930819,8792.853016
14.29489397,2688.607893,8821.322497
14.37511127,2697.210371,8849.547228
14.45532856,2705.738458,8877.52788
14.52071444,2712.63489,8900.155073
14.58610032,2719.482136,8922.620888
14.59910856,2720.838509,8927.071149
14.6121168,2722.192941,8931.51504
14.62512504,2723.545432,8935.952562
14.65114151,2726.244594,8944.808513
14.67715799,2728.936002,8953.639023
14.70317446,2731.619663,8962.444116
14.72919094,2734.295584,8971.223812
14.77222687,2738.705065,8985.691317
14.81526281,2743.093413,9000.089488
14.85829874,2747.46066,9014.418424
14.90133467,2751.806834,9028.678223
14.94437061,2756.131967,9042.868983
14.99508894,2761.202214,9059.504463
15.04580728,2766.243326,9076.044353
15.09652562,2771.255352,9092.488808
15.14724395,2776.238337,9108.837983
15.19796229,2781.192328,9125.092027
15.25551211,2786.778536,9143.420378
15.31306194,2792.327535,9161.626644
15.37061177,2797.839387,9179.711029
15.4281616,2803.314151,9197.67373
15.48571143,2808.751887,9215.51494
15.53893872,2813.748286,9231.908126
15.59216601,2818.713105,9248.197699
15.6453933,2823.646392,9264.383812
15.69862059,2828.548192,9280.466619
15.75184789,2833.418555,9296.446278
15.80507518,2838.257527,9312.322946
15.85830247,2843.065158,9328.096784
15.91152976,2847.841497,9343.767952
15.96475705,2852.586594,9359.336615
16.01798435,2857.300498,9374.802934
16.05754822,2860.784165,9386.232844
16.0971121,2864.250644,9397.606363
16.13667597,2867.699955,9408.923553
16.17623985,2871.132118,9420.184478
16.21580373,2874.54715,9431.389198
16.2671278,2878.951791,9445.840827
16.31845188,2883.327675,9460.198103
16.36977596,2887.674841,9474.461153
16.42110004,2891.993326,9488.630102
16.47242411,2896.283168,9502.705075
16.54579742,2902.366292,9522.663804
16.59634443,2906.523015,9536.302013
16.64689145,2910.652081,9549.849479
16.69743846,2914.753526,9563.306319
16.74798548,2918.827386,9576.672652
16.81116423,2923.880573,9593.252161
16.87434298,2928.890792,9609.690688
16.93752173,2933.858111,9625.988464
17.00070048,2938.782601,9642.145714
17.06387923,2943.664329,9658.162662
17.12705798,2948.503362,9674.039532
17.19023674,2953.299769,9689.776541
17.25341549,2958.053613,9705.373905
17.32334248,2963.265678,9722.474691
17.39326947,2968.425768,9739.404946
17.46319646,2973.533966,9756.164941
17.53312345,2978.590351,9772.754941
17.60305044,2983.595003,9789.175205
17.68124824,2989.130417,9807.336899
17.75944604,2994.601341,9825.286999
17.83764384,3000.007878,9843.025848
17.91584165,3005.350132,9860.553783
17.99403945,3010.628204,9877.871138
18.07223725,3015.842197,9894.978248
18.20740257,3024.703801,9924.05317
18.34256789,3033.374777,9952.502643
